time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,image
2020-01-24T10:47:52.399Z,16.3318,-97.0254,35.0,4.9,mb,,165.0,1.916,1.17,us,us60007elk,2020-01-24T12:56:56.968Z,"21km WSW of San Vicente Coatlan, Mexico",earthquake,8.3,1.9,0.027,423.0,reviewed,us,us,https://cdn.discordapp.com/attachments/988028621421686834/988592559897059378/ac325c7f-b984-454a-bb62-e41dcd3fd5b6_StevenMertens_Bill_Sienkiewicz_technology__Jack_Kirby_machines__retro_futuristic_ghibli_matte_painting.png
2020-01-24T07:24:18.747Z,36.7365,5.6009,9.2,4.9,mww,,48.0,3.189,0.92,us,us60007eif,2020-01-24T11:35:27.173Z,"17km WSW of Jijel, Algeria",earthquake,6.5,4.5,0.08,15.0,reviewed,us,us,https://cdn.discordapp.com/attachments/986263515713110056/988592330741252166/2735cb78-3bbe-419a-905c-c5e91dbed653_Erkan_Cerit_None.png
2020-01-24T07:14:24.684Z,39.2257,71.662,10.0,5.0,mb,,55.0,0.28,1.0,us,us60007eii,2020-01-24T07:33:59.040Z,"11km E of Karakenja, Tajikistan",earthquake,5.7,1.8,0.08,50.0,reviewed,us,us,https://cdn.discordapp.com/attachments/988028621421686834/988592225803993118/a278dac1-035b-47e3-a4b2-f168ec626b51_StevenMertens_Bill_Sienkiewicz_technology__Jack_Kirby_machines__retro_futuristic_ghibli_matte_painting.png
2020-01-24T07:09:15.822Z,39.1397,71.5177,10.0,5.5,mww,,29.0,0.945,0.75,us,us60007ei6,2020-01-24T09:11:01.566Z,"10km S of Karakenja, Tajikistan",earthquake,3.9,1.7,0.08,15.0,reviewed,us,us,https://cdn.discordapp.com/attachments/988028621421686834/988592214944907274/86e8ee74-05a3-48ce-9895-0be954752673_StevenMertens_Bill_Sienkiewicz_technology__Jack_Kirby_machines__retro_futuristic_ghibli_matte_painting.png
2020-01-24T06:57:57.875Z,-31.2592,-68.8079,113.75,4.4,mb,,80.0,0.304,1.16,us,us60007ehq,2020-01-24T07:51:24.040Z,"33km NW of Albardon, Argentina",earthquake,5.7,9.8,0.203,7.0,reviewed,us,us,https://cdn.discordapp.com/attachments/982990243621908480/988592166035140608/f191002c-0f09-4139-a38e-64beba3e7084_MissTwistedRose_cats_with_many_eyes_floating_in_colorful_glowing_swirling_whisps_occult_inspired_emerging_from_the_v.png
2020-01-24T05:57:24.011Z,37.6321,72.2395,176.36,4.1,mb,,87.0,0.471,0.86,us,us60007egf,2020-01-24T06:20:31.040Z,"55km NE of Roshtqal'a, Tajikistan",earthquake,4.7,7.2,0.198,7.0,reviewed,us,us,https://cdn.discordapp.com/attachments/988028621421686834/988592101153439774/d0e3d1f3-5a3a-44f2-9a01-1ca230761b93_StevenMertens_bent_twisted_impossible_shape_mysterious_foreboding_Tim_burton_tree.png
2020-01-24T05:13:50.147Z,-17.4154,-71.0088,81.63,5.4,mww,,125.0,1.142,1.19,us,us60007efq,2020-01-24T12:39:34.741Z,"25km SSW of Moquegua, Peru",earthquake,7.2,5.7,0.056,31.0,reviewed,us,us,https://cdn.discordapp.com/attachments/982990243621908480/988592059378200606/7921aae7-1d7e-45ef-8528-936d37ba5f0d_MissTwistedRose_cats_with_many_eyes_floating_in_colorful_glowing_swirling_whisps_occult_inspired_emerging_from_the_v.png
2020-01-24T05:13:36.298Z,27.8341,142.7733,13.27,4.8,mb,,127.0,0.902,0.55,us,us60007efw,2020-01-24T05:51:38.040Z,"99km NNE of Chichi-shima, Japan",earthquake,4.6,5.9,0.101,30.0,reviewed,us,us,https://cdn.discordapp.com/attachments/986263515713110056/988592019414872184/debc8b6e-4fd2-4daa-acce-1389058cd74e_Erkan_Cerit_None.png
2020-01-24T03:44:32.399Z,37.1946,141.9195,29.84,4.6,mb,,136.0,1.122,0.56,us,us60007eec,2020-01-24T04:12:25.425Z,"87km ESE of Namie, Japan",earthquake,9.9,3.7,0.116,22.0,reviewed,us,us,https://cdn.discordapp.com/attachments/986263515713110056/988591908311924736/e7d105bf-5ac9-4252-a9d4-17d4bcfd7894_Erkan_Cerit_None.png
2020-01-24T03:35:56.879Z,51.6748,-177.8912,10.0,4.3,mb,,178.0,0.492,0.85,us,us60007ee1,2020-01-24T03:57:42.040Z,"28km SE of Tanaga Volcano, Alaska",earthquake,5.1,1.9,0.075,50.0,reviewed,us,us,https://cdn.discordapp.com/attachments/986263515713110056/988591479813443584/3524183d-d3d2-4ef8-8863-0e60e203308e_Erkan_Cerit_None.png
2020-01-24T02:46:59.775Z,19.9394,-74.7103,10.0,4.2,mb,,103.0,0.377,1.09,us,us60007ed9,2020-01-24T12:44:23.987Z,"50km SSW of Baracoa, Cuba",earthquake,2.7,1.9,0.186,8.0,reviewed,us,us,https://cdn.discordapp.com/attachments/986263515713110056/988591252779966474/7c150abb-6913-4e0b-aa04-fe14410ee9a1_Erkan_Cerit_None.png
